Name,Price,URL,Image_URL,Category,Description
BalancePlus Pull-On Anti-Slider,Regular price$22.95,https://thecurlingstore.com/collections/footwear/products/balanceplus-pull-on-anti-slider,https://thecurlingstore.com/cdn/shop/products/gripper_500x500_5c06d55f69dab-jpg-keep-ratio_300x300.jpeg?v=1558977864,Footwear,"Anti-slider (Gripper). The brand and type of shoe you wear will impact pull-on anti-slider fit. If your online purchase does not include the pair of shoes for which you are selecting a pull-on anti-slider, contact The Curling Store via email or phone to let our team help you make a successful purchase."
Men's BalancePlus 401 Series Curling Shoes,Regular price$159.95,https://thecurlingstore.com/collections/footwear/products/mens-balanceplus-401-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.34_PM_300x300.jpg?v=1559331414,Footwear,Athletic styling with specific detail to performance. The 401 Series is designed for the beginner curler.
BalancePlus Pull-On Slider,Regular price$54.95,https://thecurlingstore.com/collections/footwear/products/balanceplus-pull-on-slider,https://thecurlingstore.com/cdn/shop/products/pullon-_1__500x500_5c095425b142d-jpg-keep-ratio_300x300.jpeg?v=1557232878,Footwear,Pull-on Slider.
Goldline Pull-On Anti-Slider,Regular price$22.95,https://thecurlingstore.com/collections/footwear/products/goldline-pull-on-anti-slider,https://thecurlingstore.com/cdn/shop/products/ANTIS_01-01_300x300.jpg?v=1567260841,Footwear,"Anti-slider (Gripper). The brand and type of shoe you wear will impact pull-on anti-slider fit. If your online purchase does not include the pair of shoes for which you are selecting a pull-on anti-slider, contact The Curling Store via email or phone to let our team help you make a successful purchase."
Men's BalancePlus 703 Series Curling Shoes,Regular price$219.95,https://thecurlingstore.com/collections/footwear/products/mens-balanceplus-703-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ls-grey_300x300.png?v=1598728168,Footwear,"The lightweight, flexible and breathable sport-style curling shoe is a great addition to the LiteSpeedcollection of products."
Women's BalancePlus 401 Series Curling Shoes,Regular price$159.95,https://thecurlingstore.com/collections/footwear/products/womens-balanceplus-401-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.27_PM_300x300.jpg?v=1559330942,Footwear,Athletic styling with specific detail to performance. The 401 Series is designed for the beginner curler.
Tournament Pull-On Anti-Slider,Regular price$22.95,https://thecurlingstore.com/collections/footwear/products/tournament-pull-on-anti-slider,https://thecurlingstore.com/cdn/shop/products/Pull_On_Anti_Sli_4e45bef9ac0fd_500x500_5c096f88958d7-jpg-keep-ratio_300x300.jpeg?v=1557233689,Footwear,"Anti-slider (Gripper). The brand and type of shoe you wear will impact pull-on anti-slider fit. If your online purchase does not include the pair of shoes for which you are selecting a pull-on anti-slider, contact The Curling Store via email or phone to let our team help you make a successful purchase."
Men’s BalancePlus 403 Series Curling Shoes,Regular price$209.95,https://thecurlingstore.com/collections/footwear/products/men-s-balanceplus-403-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/Men___s_BalanceP_524220deabb81-2_500x500_5bf6cea22149d-png-keep-ratio_300x300.png?v=1559161302,Footwear,Athletic styling with specific detail to performance. The 403 Series is designed for the club and competitive curler.
Men's Asham Club Ultra Lite Curling Shoes,Regular price$219.95,https://thecurlingstore.com/collections/footwear/products/mens-asham-club-ultra-lite-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ClubRotatorMen_sCurlingShoeSide_1024x1024_6f27afb0-274d-4cba-aaa2-222fd9f46949_300x300.png?v=1634516226,Footwear,
Asham Rubber Rotator Slip-On Gripper,Regular price$26.95,https://thecurlingstore.com/collections/footwear/products/asham-rubber-rotator-slip-on-gripper,https://thecurlingstore.com/cdn/shop/products/Rubber_Rotator_S_4e45ba18776ed_500x500_5c09784f0e6ad-jpg-keep-ratio_300x300.jpeg?v=1558972013,Footwear,This rubber slip-on gripper fits the Asham Rotator sole and most wide soled running shoes.
Men's BalancePlus 704 Series Curling Shoes,Regular price$239.95,https://thecurlingstore.com/collections/footwear/products/mens-balanceplus-704-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ls-grey_e2375227-877d-4bf1-8baa-4f2cc14e746c_300x300.png?v=1666571946,Footwear,"The lightweight, flexible and breathable sport-style curling shoe is a great addition to the LiteSpeedcollection of products."
Women's BalancePlus 703 Series Curling Shoes,Regular price$219.95,https://thecurlingstore.com/collections/footwear/products/womens-balanceplus-703-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ls-grey_dd5936f1-9c9f-4599-a34a-a2d47ed7c0cb_300x300.png?v=1598743705,Footwear,"The lightweight, flexible and breathable sport-style curling shoe is a great addition to the LiteSpeedcollection of products."
