Name,Price,Brand,URL,Image_URL,Category
Bauer Vapor X5 Pro Senior Ice Hockey Skates With Runner,$657.49,,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587647-ti-1-new-1_2.jpg,Skates
Bauer Vapor X4 Senior Ice Hockey Skates,$374.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605327-1-new.jpg,Skates
Bauer Vapor FlyLite Senior Ice Hockey Skates With Runner,"$1,179.99",,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-sr-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698704211-ti-1_1.jpg,Skates
Bauer Supreme M50 Pro Senior Ice Hockey Skates With Runner,$849.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m50-pro-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639506-ti-1.jpg,Skates
Bauer Vapor Hyperlite 2 Senior Ice Hockey Skates With Runner,$844.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-2-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587784-1-new-1_2.jpg,Skates
True HZRDUS 9X Senior Ice Hockey Skates,$379.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-9x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123475-1-new.jpg,Skates
Bauer Supreme Shadow Senior Ice Hockey Skates With Runner,"$1,129.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-shadow-sr-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639483-ti-1.jpg,Skates
Bauer Vapor Hyperlite 2 Intermediate Ice Hockey Skates With Runner,$769.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-2-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587784-1-new-1_1.jpg,Skates
True HZRDUS 7X Ice Hockey Skates - Senior,$224.99,True,https://www.hockeymonkey.com/true-hockey-skates-hzrdus-7x4-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/681489123857-1-new.jpg,Skates
Bauer Vapor X-Lite Intermediate Ice Hockey Skates,$249.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x-lite-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698616668-1_12.jpg,Skates
CCM Tacks XF Pro Senior Ice Hockey Skates,"$1,199.99",CCM,https://www.hockeymonkey.com/ccm-hockey-skates-tacks-xf-pro-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520835941-1_34.jpg,Skates
Bauer Vapor Hyperlite Pro Stock Senior Ice Hockey Skates,$699.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-hyperlite-pro-stock-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698764635-1_29.jpg,Skates
Bauer Vapor X4 Intermediate Ice Hockey Skates,$299.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698605419-1.jpg,Skates
Bauer Vapor Fly30 Senior Ice Hockey Skates,$319.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-fly30-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708981-1_23.jpg,Skates
Bauer Vapor X5 Pro Intermediate Ice Hockey Skates With Runner,$544.99,,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x5-pro-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698587647-ti-1-new-1_1.jpg,Skates
Bauer Vapor FlyPro Senior Ice Hockey Skates With Runner,$919.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flypro-sr-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698707816-x-1_2.jpg,Skates
Bauer Vapor FlyLite Intermediate Ice Hockey Skates With Runner,"$1,069.99",Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-flylite-int-bundle.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698708080-1_20.jpg,Skates
Bauer Supreme Mach Intermediate Ice Hockey Skates With Runner,$609.96,,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-mach-int-w-runner.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698520491-carbon-1_1.jpg,Skates
Bauer Supreme M30 Senior Ice Hockey Skates,$319.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m30-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698639582-1_21.jpg,Skates
Bauer Vapor X-Lite Senior Ice Hockey Skates,$269.99,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-vapor-x-lite-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698616545-1_20.jpg,Skates
CCM Jetspeed FT690 Senior Ice Hockey Skates,$599.99,CCM,https://www.hockeymonkey.com/ccm-hockey-skates-jetspeed-ft690-sr.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/1/9/191520682736-1-new.jpg,Skates
Bauer Supreme M4 Intermediate Ice Hockey Skates,$261.98,Bauer,https://www.hockeymonkey.com/bauer-hockey-skates-supreme-m4-int.html,https://www.hockeymonkey.com/media/catalog/product/cache/0755353d24487896ff68f51449fa6807/6/8/688698521191-1-1.jpg,Skates
